tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz,face,,
1,1,1,1,1,0,0.35,0.46,0.71,16206.17,37735.66,-5817.23,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.02,-0.27,0.93,47981.44,-26454.34,-42963.54,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.23,-0.06,0.79,-40195.7,-32018.65,-5101.41,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.29,0.41,0.78,-6664.29,40653.83,16024.83,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.52,0.2,0.74,31171.59,20470.08,-19503.72,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.08,-0.4,0.93,-12841.82,-53424.06,-18933.45,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.36,0.31,0.74,-40465.33,21119.09,26769.3,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.02,0.03,0.89,24371.3,10140.79,-6332.62,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.64,0.62,0.65,17752.35,8606.55,-18441.92,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.15,-0.19,0.99,16194.24,-47480.37,-15681.24,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.58,-0.15,0.67,-67325.3,36351.75,37022.23,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.48,0.92,0.59,6683.38,22956.36,-4173.23,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.02,-0.08,0.92,42142.73,-32436.21,-65585.85,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.3,-0.29,0.79,-3044.62,4514.44,31142.96,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.53,0,0.91,-16692.93,12939.65,10665.72,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.1,0.61,0.54,-20205.22,-63135.36,-3972.8,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.37,-0.24,0.72,66635.72,-11560.5,-45695.59,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.17,0.12,0.71,-75903.21,46487.76,59875.99,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.1,0.5,0.8,58823.73,-29801.99,-37640.22,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.13,-0.61,0.93,6358.87,9164.89,1760.92,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.01,0.36,0.74,-42777.43,18625.65,30749.26,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.1,-0.05,0.86,57110.54,-29310.46,-57334.83,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.25,-0.39,0.76,46337.44,13605.36,-53395.43,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.33,0.3,0.76,-30038.21,51038,73736.66,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.09,-0.05,0.83,28179.46,-72617.59,-28964.48,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.37,0.48,0.55,-54228.17,27461.26,6554.53,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.18,-0.31,0.86,59150.62,-28628.04,-62059.24,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.13,-0.07,0.67,-18379.88,40835.17,59854.52,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.37,0.15,0.83,-24855.67,-34063.51,-8749.71,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.19,0.07,0.73,59489.45,-38709.18,-28487.27,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.28,-0.19,0.84,-40758.81,57349.14,54104.09,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.54,0.31,0.77,-16561.7,-17182.08,1892.15,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.03,0.09,0.8,59561.03,-47816.8,-56826.59,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.71,-0.39,0.78,-69470.37,415.18,24340.28,6,,
,,,,,,,,,,,,,,
1,1,1,0,1,0,-0.27,0.89,0.44,16151.29,66082.16,-882.85,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.5,-0.41,0.95,43187.83,-20367.48,-61694.18,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.01,-0.58,0.84,-7967.08,19990.48,48294.02,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.34,0.22,0.8,-1820.57,-39389.21,-10088.3,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.31,-0.31,0.9,-22870.46,51295.69,49398.77,6,,
,,,,,,,,,,,,,,
1,1,1,1,0,0,0.55,0.18,0.8,15547.62,-54994.09,-45867.39,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.45,-0.24,0.84,-4158.92,-33968.06,-1309.95,6,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,-0.22,-0.04,0.67,64877.19,11522.32,-31577.22,6,,
,,,,,,,,,,,,,,
1,0,1,1,1,0,0.04,-0.53,0.84,-27625.89,53486.1,58778.4,6,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,1,1,1,1,0,0.06,0.22,0.78,46423.34,-47086.66,-37485.13,6,,
,,,,,,,,,,,,,,
